,Day,Tube,Treatment,Count,mean.size,sd.size
7,12,2,Constant,40,70.8075,8.863473266
8,13,2,Constant,60,74.9,11.38779464
9,14,2,Constant,40,74.23,4.926134387
10,15,2,Constant,70,76.61857143,3.779618272
11,16,2,Constant,30,NA,NA
12,17,2,Constant,50,70.0425,3.079625248
13,18,2,Constant,40,68.57,5.274599511
14,19,2,Constant,70,70.615,3.102784234
15,20,2,Constant,60,66.61833333,5.967138063
16,21,2,Constant,60,66.92666667,3.296366687
17,22,2,Constant,60,64.23,5.615060107
18,23,2,Constant,90,67.96375,5.550768126
19,24,2,Constant,130,65.39777778,4.576979839
20,25,2,Constant,140,61.86357143,4.919411483
21,26,2,Constant,70,57.408,7.317446276
22,27,2,Constant,10,59.78,11.7521147
23,28,2,Constant,90,60.146,8.261884168
24,29,2,Constant,90,67.96125,3.582116045
25,30,2,Constant,90,62.35375,7.020988814
26,31,2,Constant,60,63.375,3.679615016
27,32,2,Constant,80,66.09142857,3.967826561
28,33,2,Constant,70,64.63857143,3.530426927
29,34,2,Constant,60,70.882,4.434384963
30,35,2,Constant,70,62.56,11.93011316
31,36,2,Constant,120,79.69,11.80304622
32,37,2,Constant,50,72.132,4.231710056
33,38,2,Constant,70,77.338,10.53986575
34,39,2,Constant,100,75.23333333,4.985369261
35,40,2,Constant,60,74.182,14.27263711
36,41,2,Constant,90,69.90428571,11.40344664
37,42,2,Constant,100,70.26285714,6.365913693
38,43,2,Constant,90,72.31833333,9.516140849
39,44,2,Constant,90,66.8575,6.766878897
40,45,2,Constant,90,75.128,6.804003968
47,12,4,Constant,80,73.07,8.000742466
48,13,4,Constant,80,62.31833333,7.77778996
49,14,4,Constant,110,67.23714286,7.089101293
50,15,4,Constant,70,74.24333333,3.79602248
51,16,4,Constant,80,61.28666667,6.911543002
52,17,4,Constant,130,64.21333333,8.369985699
53,18,4,Constant,90,66.11818182,7.419980887
54,19,4,Constant,90,67.75857143,6.299934996
55,20,4,Constant,90,59.62,6.206337487
56,21,4,Constant,80,60.94833333,5.743979167
57,22,4,Constant,90,61.52125,7.375973422
58,23,4,Constant,140,64.12,4.941168167
59,24,4,Constant,100,60.213,7.315413029
60,25,4,Constant,80,61.57142857,5.60428535
61,26,4,Constant,130,57.474,2.101792092
62,27,4,Constant,120,59.53818182,10.75376847
63,28,4,Constant,80,63.102,7.075914782
64,29,4,Constant,100,60.15428571,4.06709502
65,30,4,Constant,80,60.282,7.635241974
66,31,4,Constant,150,62.595,6.17806604
67,32,4,Constant,60,65.2425,12.71905755
68,33,4,Constant,70,59.14571429,4.869427951
69,34,4,Constant,60,60.15666667,7.1612336
70,35,4,Constant,120,60.06555556,3.168316237
